# Version: 950e903b4e p-2024.9-push-30
# Command Line: cov-analyze --dir cov-int --security --concurrency --webapp-security
timer                                                                                     ms      calls
-------------------------------------------------------------------------------------------------------
allAnalysis                                                                            65623          1
  LOCK_FINDER_BOTTOMUP                                                                     0          1
  THREAD_ENTRY_POINT                                                                       0          1
  RELAX_BLOCK_FN                                                                           0          1
  RELAX_GETLOCK                                                                            0          1
  RELAX_SERVLET_ATTRIBUTE                                                                  0          1
  RELAX_LOCK_STATE                                                                         0          1
  RELAX_THREADS                                                                            0          1
  RELAX_THREAD_SHARED                                                                      0          1
  RELAX_UNLOCKED_WRITE                                                                     0          1
  DUMMY_DERIVER_CONCURRENCY                                                                0          1
  IFACE_TRACKER                                                                            0          8
  LOCK_FINDER_TOPDOWN                                                                      0          1
  THREAD_CONTEXT                                                                           0          1
  ALLOC_FREE_MISMATCH                                                                      0          1
  ASPNET_MVC_VERSION_HEADER                                                                0          1
  ATTRIBUTE_NAME_CONFLICT                                                                  0          1
  AUTO_CAUSES_COPY                                                                         0          1
  MISSING_PERMISSION_FOR_BROADCAST                                                         0          1
  ARRAY_VS_SINGLETON                                                                       0          1
  ASSERT_SIDE_EFFECT                                                                       0          1
  ATOMICITY                                                                                0          1
  SERVLET_ATOMICITY                                                                        0          1
  BAD_ALLOC_ARITHMETIC                                                                     0          1
  BAD_ALLOC_STRLEN                                                                         0          1
  BAD_CHECK_OF_WAIT_COND                                                                   0          1
  BAD_COMPARE                                                                              0          1
  BAD_EQ_TYPES                                                                             0          1
  BAD_FREE                                                                                 0          1
  IMPLICIT_INTENT                                                                          0          1
  __BAD_CERT_VERIFICATION_ABSTRACT_INTERPRETATION                                          0          1
  BAD_LOCK_OBJECT                                                                          0          1
  BAD_SHIFT                                                                                0          1
  BAD_SIZEOF                                                                               0          1
  BUFFER_SIZE                                                                              0          1
  CHAR_IO                                                                                  0          1
  CHROOT                                                                                   0          1
  COM.BAD_FREE                                                                             0          1
  COM.BSTR.CONV                                                                            0          1
  CONSTANT_EXPRESSION_RESULT                                                               0          1
  COPY_INSTEAD_OF_MOVE                                                                     0          1
  COPY_PASTE_ERROR                                                                         0          1
  CUDA.DIVERGENCE_AT_COLLECTIVE_OPERATION                                                  0          1
  STRING_GRAPH_CRYPTO                                                                      0          1
  __RISKY_CRYPTO_ABSTRACT_INTERPRETATION                                                   0          1
  CTOR_DTOR_LEAK                                                                           0          1
  CUDA.INACTIVE_THREAD_AT_COLLECTIVE_WARP                                                  0          1
  CUDA.INVALID_MEMORY_ACCESS                                                               0          1
  CUDA.SHARE_FUNCTION                                                                      0          1
  CUDA.SHARE_OBJECT_STREAM_ASSOCIATED                                                      0          1
  DEADCODE                                                                                 0          1
  DELETE_ARRAY                                                                             0          1
  DELETE_VOID                                                                              0          1
  USE_AFTER_FREE                                                                           0          1
  DIVIDE_BY_ZERO                                                                           0          1
  EVALUATION_ORDER                                                                         0          1
  FORMAT_STRING_INJECTION                                                                  0          1
  FORWARD_NULL                                                                             0          1
  GUARDED_BY_VIOLATION                                                                     0          1
  HIBERNATE_BAD_HASHCODE                                                                   0          1
  ORM_UNNECESSARY_GET                                                                      0          1
  IDENTICAL_BRANCHES                                                                       0          1
  INCOMPATIBLE_CAST                                                                        0          1
  INFINITE_LOOP                                                                            0          1
  __INSECURE_COMMUNICATION_ABSTRACT_INTERPRETATION                                         0          1
  INTEGER_OVERFLOW                                                                         0          1
  INVALIDATE_ITERATOR                                                                      0          1
    INVALIDATE_ITERATOR                                                                    0          2
  LOCK_EVASION                                                                             0          1
  LOCK                                                                                     0          1
  LOCK_STATE                                                                               0          1
  LOCK_INVERSION                                                                           0          1
  MASS_ASSIGNMENT                                                                          0          1
  MISMATCHED_ITERATOR                                                                      0          1
  MISSING_BREAK                                                                            0          1
  MISSING_COMMA                                                                            0          1
  MISSING_LOCK                                                                             0          1
  MISSING_RESTORE                                                                          0          1
  MISSING_RETURN                                                                           0          1
